Name,Designator,Footprint,Quantity,Link(Japan),Mouser
Jack 3.5mm Mono,"J1,J2,J3,J4",,4,https://www.thonk.co.uk/shop/thonkiconn/,
LED RED/GREEN 3mm,LED1,,1,https://www.mouser.jp/ProductDetail/Kingbright/WP937EGW,604-WP937EGW
10M,R1,R0603,1,https://www.marutsu.co.jp/pc/i/856749/,
1k,R3,R0603,1,https://akizukidenshi.com/catalog/g/g130351/,
51,"R2,R5,R4",R0603,3,https://www.marutsu.co.jp/pc/i/856863/,
1N5817 ,"D5,D6",,2,https://www.marutsu.co.jp/pc/i/46432488/,
100n,"C3,C4",C0603,2,https://akizukidenshi.com/catalog/g/g116143/,
22uF Capacitor Electrolytic Low profile 25V 7mm,"C13,C20",,2,https://www.digikey.jp/ja/products/detail/panasonic-industry/ECE-A1EKA220/6921,
OPA4171,IC12,TSSOP14,1,https://www.digikey.jp/ja/products/detail/texas-instruments/OPA4171AIPW/2799365,
1x8 Male Pin Header 2.54mm ,,,2,https://akizukidenshi.com/catalog/g/g104394/,
1x8 Female Pin Header 2.54mm ,,,2,https://akizukidenshi.com/catalog/g/g103785/,
2x5 Male Pin Header 2.54mm ,,,1,https://akizukidenshi.com/catalog/g/g113635/,
