SPLOG BOM,,,,,
,,,,,
Name,Designator,Footprint,Quantity,Link(Japan),Link
1N5819,"D2,D1",1N5819,2,https://www.taydaelectronics.com/1n5819-schottky-barrier-diode-1a-40v.html,https://www.reichelt.de/schottkydiode-40-v-1-a-do-41-1n-5819-p41850.html?&nbc=1
100n,"C23,C24,C25,C26",C0805,4,https://www.taydaelectronics.com/100nf-50v-smd-ceramic-chip-capacitor.html,
10K,"R5,R6,R7,R8,R9,R10,R11,R12,R13,R14",R0805,10,https://www.taydaelectronics.com/50-x-smd-chip-resistors-10k-ohm-1-8w-1-0805.html,
1k,"R49,R50,R51,R52",R0603,4,https://www.taydaelectronics.com/50-x-1k-ohm-1-10w-1-0603-smd-chip-resistors.html,
10K,"R47,R48",R0603,2,https://www.taydaelectronics.com/50-x-10k-ohm-1-10w-1-0603-smd-chip-resistors.html,
10pF,"C3,C2,C27,C28,C29,C30",C0805,6,https://www.taydaelectronics.com/10pf-50v-smd-ceramic-chip-capacitor.html,
TL072P,IC2,SOIC-8,1,https://www.taydaelectronics.com/tl072-dual-operational-amplifier-j-fet-soic-8-tl072acdr.html,
TL074,IC1,SOIC-14,1,https://www.taydaelectronics.com/tl074-quad-operational-amplifier-j-fet-soic-14-tl074cdt.html,
"Thonkicon 3,5mm ","U1,U2,U3,U4,U5,U6",,6,https://www.taydaelectronics.com/pj-3001f-3-5-mm-mono-phone-jack.html,https://www.thonk.co.uk/shop/3-5mm-jacks/
22u,"C5,C6",,2,https://akizukidenshi.com/catalog/g/g117899/,https://www.reichelt.de/elko-radial-22-uf-25-v-1000-h-low-esr-aec-q200-rad-fc-22-25-p84588.html?&nbc=1
FERRITE ,"F+,F-",,2,https://www.taydaelectronics.com/axial-ferrite-bead-76-ohm.html,https://www.reichelt.de/emv-ferrit-entstoerfilter-axial-90-ohm-100-mhz-bead-4-90-p105726.html?&nbc=1
