Name,Designator,Quantity,Reference,Link(Japan),Link
B100K,"P2,P4,P3,P1",4,,https://ears-modular.com/products/%E5%9F%BA%E6%9D%BF%E7%94%A8%E5%8F%AF%E5%A4%89%E6%8A%B5%E6%8A%97-t18-b100k,https://www.thonk.co.uk/shop/ttpots/
"Thonkicon 3,5mm","CV1,CV2,CV3,CV4,IN1,IN2,IN3,IN4,OUT1,OUT2,OUT3,OUT4",12,,https://www.thonk.co.uk/shop/thonkiconn/,https://www.thonk.co.uk/shop/thonkiconn/
2N3906,"Q1,Q3,Q2,Q4",4,,https://akizukidenshi.com/catalog/g/g131637/,
100nF,"C26,C32,C33,C34,C39,C40,C41,C42",8,ceramic,https://akizukidenshi.com/catalog/g/g116537/,
47pF,"C7,C3,C1,C4,C5,C6,C8,C2",8,ceramic,https://akizukidenshi.com/catalog/g/g116522/,
22K,"R15,R13,R29,R9",4,1%,https://akizukidenshi.com/catalog/g/g108555/,
47K,"R3,R26,R34,R22",4,1%,https://akizukidenshi.com/catalog/g/g108560/,
1M,"R2,R27,R35,R23",4,1%,https://akizukidenshi.com/catalog/g/g108568/,
1K,"R1,R7,R16,R19,R28,R10,R5,R6,R18,R20,R31,R32,R36,R24,R12,R11",16,1%,https://akizukidenshi.com/catalog/g/g108535/,
100K,"R8,R14,R25,R17,R21,R30,R33,R4",8,1%,https://akizukidenshi.com/catalog/g/g108563/,
LM13700,"IC4,IC3",2,,https://lcsc.com/product-detail/Operational-Amplifier_HGSEMI-LM13700N_C5160099.html,
TL074,"IC2,IC1",2,,https://akizukidenshi.com/catalog/g/g116093/,
1N5817,"D1,D2",2,,https://www.marutsu.co.jp/pc/i/46432488/,
Ferrite Bead,"F+,F-",2,,https://akizukidenshi.com/catalog/g/g113369/,
DIP-14 Socket,,2,,https://akizukidenshi.com/catalog/g/g100006/,
DIP-16 Socket,,2,,https://akizukidenshi.com/catalog/g/g100007/,
10uF Capacitor Electrolytic Low profile,"C5,C6",2,,https://www.marutsu.co.jp/pc/i/34341273/,
2x5 Male Pin Header 2.54mm,,1,,https://akizukidenshi.com/catalog/g/g113635/,
1x8 Male Pin Header 2.54mm,,3,,https://akizukidenshi.com/catalog/g/g104394/,
1x8 Female Pin Header 2.54mm,,3,,https://akizukidenshi.com/catalog/g/g103785/,
